Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Starlink-1747 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AP,46569
Starlink-1748 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AQ,46570
Starlink-1749 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070BK,46589
Starlink-1750,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062N,46337
Starlink-1752,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062P,46338
Starlink-1755 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,06/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070BM,46591
Starlink-1758,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062BH,46380
Starlink-1759,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062R,46340
Starlink-1760 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062S,46341
Starlink-1761 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,15/02/2021,4,SpaceX,USA,Cape Canaveral,Falcon 9,2021-012G,47626
Starlink-1762,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062T,46342
Starlink-1763,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AR,46364
Starlink-1764,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062U,46343
Starlink-1765,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062V,46344
Starlink-1766 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073H,46677
Starlink-1767,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062W,46345
Starlink-1769,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062BK,46382
Starlink-1770 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062BL,46383
Starlink-1771,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,551,0.000217,53,95.6,260,,,03/09/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062BM,46384
Starlink-1773 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073K,46679
Starlink-1774 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073L,46680
Starlink-1775 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073M,46681
Starlink-1776 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073N,46682
Starlink-1777 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088A,47122
Starlink-1780 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073Q,46684
Starlink-1781 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073R,46685
Starlink-1782,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,04/02/2021,4,SpaceX,USA,Cape Canaveral,Falcon 9,2021-009A,47548
Starlink-1783 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073S,46686
Starlink-1784 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,18/10/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-073T,46687
Starlink-1785 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,548,561,0.000939,53,95.6,260,,,24/11/2020,4,SpaceX,USA,Cape Canaveral,Falcon 9,2020-088C,47124
