Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Starlink-3975 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052Y,52620
Starlink-3976 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053T,52673
Starlink-3977 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AU,52640
Starlink-3978 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AP,52635
Starlink-3979 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052L,52608
Starlink-3980 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052P,52611
Starlink-3981 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AH,52687
Starlink-3982 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052S,52614
Starlink-3983 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052W,52618
Starlink-3984 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052Z,52621
Starlink-3985 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AY,52644
Starlink-3986 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AB,52623
Starlink-3987 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AV,52699
Starlink-3988 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AD,52625
Starlink-3989 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AJ,52630
Starlink-3990 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AE,52626
Starlink-3991 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AV,52641
Starlink-3992 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AF,52627
Starlink-3994 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AM,52633
Starlink-3995 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AL,52632
Starlink-3996 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052V,52617
Starlink-3997 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052M,52609
Starlink-3998 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052N,52610
Starlink-3999 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053BA,52704
Starlink-4000 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052H,52605
Starlink-4001 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AG,52628
Starlink-4002 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052Q,52612
Starlink-4003 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AX,52701
Starlink-4004 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053A,52656
Starlink-4005 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AG,52686
Starlink-4006 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053W,52676
Starlink-4007 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053BD,52707
Starlink-4008 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AA,52622
Starlink-4009 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AC,52624
Starlink-4010 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062AJ,52862
Starlink-4011 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052T,52615
Starlink-4012 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052E,52602
Starlink-4013 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052G,52604
Starlink-4014 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AE,62684
Starlink-4015 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052U,52616
Starlink-4016 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052F,52603
Starlink-4017 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AC,52682
Starlink-4018 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AT,52697
Starlink-4019 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052A,52598
Starlink-4020 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AZ,52703
Starlink-4021 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083T,53149
Starlink-4022 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052AH,52629
Starlink-4023 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083D,53135
Starlink-4024 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052B,52599
Starlink-4025 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AS,52696
Starlink-4026 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052C,52600
Starlink-4027 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,14/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-052D,52601
Starlink-4028 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053X,52677
Starlink-4029 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AF,52685
Starlink-4030 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AU,52698
Starlink-4031 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053Z,52679
Starlink-4032 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AJ,52688
Starlink-4033 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AY,52702
Starlink-4034 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AW,52700
Starlink-4035 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AL,52690
Starlink-4036 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062H,52837
Starlink-4037 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053H,52663
Starlink-4038 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083U,53150
Starlink-4039 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AD,52683
Starlink-4040 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083V,53151
Starlink-4041 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AR,52695
Starlink-4042 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053F,52661
Starlink-4043 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062G,52836
Starlink-4044 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053G,52662
Starlink-4045 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083W,53152
Starlink-4046 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062N,52842
Starlink-4047 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,24/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-086B,53243
Starlink-4048 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062K,52839
Starlink-4049 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062L,52840
Starlink-4050 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,24/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-086AJ,53274
Starlink-4051 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,24/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-086AH,53273
Starlink-4052 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083AR,53171
Starlink-4053,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,539,541,0.000145,53.2,95.4,260,,,19/08/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-101K,53536
Starlink-4054 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083AC,53158
Starlink-4055 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083AF,53161
Starlink-4056 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,24/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-086A,53242
Starlink-4057 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,24/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-086AD,53269
Starlink-4058 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,24/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-086AA,53266
Starlink-4059 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,24/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-086J,53250
Starlink-4060 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,24/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-086AB,53267
Starlink-4061 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,24/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-086F,53247
Starlink-4062 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,24/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-086V,53261
Starlink-4063 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083A,53132
Starlink-4064 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053K,52665
Starlink-4065 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062M,52841
Starlink-4066 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083S,53148
Starlink-4067 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053N,52668
Starlink-4068 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AB,52681
Starlink-4069 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,24/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-086AF,53271
Starlink-4070 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053J,52664
Starlink-4071 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053R,52671
Starlink-4072 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AQ,52694
Starlink-4073 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053S,52672
Starlink-4074 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053Y,52678
Starlink-4075 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053Q,52670
Starlink-4076 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053M,52667
Starlink-4077 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083Y,53154
Starlink-4078 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053AK,52689
Starlink-4079 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053L,52666
Starlink-4080 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062F,52835
Starlink-4081 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053E,52660
Starlink-4082 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053C,52658
Starlink-4083 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062C,52832
Starlink-4084 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,18/05/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-053B,52657
Starlink-4085 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,24/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-086W,53262
Starlink-4086 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062D,52833
Starlink-4087 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083AA,53156
Starlink-4088 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083Z,53155
Starlink-4089 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062B,52831
Starlink-4090 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083AK,53165
Starlink-4091 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062A,52830
Starlink-4092 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/06/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-062J,52838
Starlink-4093 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083AB,53157
Starlink-4094 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083R,53147
Starlink-4095 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083AQ,53170
Starlink-4096 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0,538,541,0.000217,53.2,95.4,260,,,17/07/2022,4,SpaceX,USA,Cape Canaveral,Falcon 9,2022-083AE,53160
